,자치구,승차,하차,승하차,13시,14시,15시,16시,시간대합산노인인구,노인인구,양로시설수,양로시설정원,양로시설현원,양로시설종사자수,요양시설수,요양시설정원,요양시설현원,요양시설종사자수,노인복지시설수,노인복지종사자수,경로당,노인교실,노인일자리시설수,노인일자리종사자수
0,송파구,7809263,7731435,15540698,9240,9121,8781,8395,35537,"93,309",1,12,12,5,8,658,614,441,3,48,172,17,1,9
1,강남구,8932277,8492772,17425049,9005,9164,9114,8591,35874,"74,959",0,0,0,0,4,215,63,48,6,94,167,22,1,7
2,강동구,5805253,5776344,11581597,7153,6515,6422,5840,25930,"69,903",1,124,84,24,8,495,372,258,3,139,121,10,1,7
3,서초구,5928950,5767127,11696077,7060,7468,7403,7064,28995,"60,072",0,0,0,0,4,322,305,215,4,130,141,6,0,0
4,노원구,6191740,6143127,12334867,6502,6309,5984,5504,24299,"85,420",2,124,81,31,11,884,808,533,3,125,243,13,1,6
5,강서구,4163305,4153899,8317204,6383,6154,5940,5430,23907,"88,733",1,25,24,17,18,"1,017",933,619,5,97,218,25,1,6
6,영등포구,3214584,3234031,6448615,6063,6526,6678,6617,25884,"60,663",0,0,0,0,1,118,116,87,1,27,174,27,1,6
7,관악구,4610636,4625957,9236593,5519,5552,5444,5232,21747,"78,430",0,0,0,0,10,435,405,296,1,33,114,19,1,6
8,성북구,3251709,3215300,6467009,5484,5462,5274,4896,21116,"73,613",0,0,0,0,16,715,613,400,6,110,175,9,1,6
9,은평구,6164368,6196836,12361204,5483,5240,4925,4768,20416,"85,010",1,25,18,7,15,"1,070",986,639,7,170,154,17,1,6
10,동대문구,5048137,5218814,10266951,5230,5496,5633,5729,22088,"61,612",0,0,0,0,4,224,208,140,1,41,134,16,1,5
11,중랑구,2843474,2875810,5719284,5011,4713,4379,4297,18400,"69,341",0,0,0,0,10,859,781,512,5,156,127,11,0,0
12,구로구,4039788,4009012,8048800,4986,4695,4456,4604,18741,"69,201",0,0,0,0,10,913,751,499,2,44,199,20,1,6
13,종로구,11125411,10914426,22039837,4942,5772,6670,7065,24449,"28,311",1,57,45,14,8,347,325,245,3,111,63,9,1,6
14,마포구,544465,5336932,5881397,4825,4915,4589,4337,18666,"54,002",0,0,0,0,2,284,280,201,4,70,154,11,1,7
15,동작구,5361216,5375278,10736494,4781,4631,4635,4442,18489,"64,928",0,0,0,0,3,190,179,117,3,63,140,8,0,0
16,중구,8182465,8094522,16276987,4738,5489,5926,5810,21963,"24,174",0,0,0,0,2,74,72,61,2,66,48,4,0,0
17,도봉구,2473738,2646163,5119901,4619,4501,4516,4276,17912,"62,009",1,26,21,7,21,848,780,518,5,95,135,9,1,6
18,강북구,2843663,2865380,5709043,4580,4345,4204,3980,17109,"63,313",0,0,0,0,8,503,482,322,1,35,100,17,0,0
19,광진구,4740308,4675291,9415599,4499,4562,4614,4267,17942,"50,311",1,760,554,73,8,487,453,295,1,63,95,10,1,6
20,양천구,2087371,2098617,4185988,4376,4037,3839,3524,15776,"65,541",0,0,0,0,13,656,626,438,4,142,164,23,1,6
21,서대문구,2492747,2466390,4959137,4273,4016,3921,3764,15974,"53,756",0,0,0,0,10,388,328,247,4,96,111,12,1,6
22,성동구,3557382,3521183,7078565,4264,4170,4196,3964,16594,"45,435",0,0,0,0,3,391,359,234,4,82,162,13,0,0
23,용산구,3063568,3629440,6693008,3728,3556,3516,3447,14247,"39,779",0,0,0,0,3,194,195,136,2,75,88,20,0,0
24,금천구,472848,443947,916795,2283,2101,2148,2114,8646,"39,314",2,92,79,20,12,586,537,384,3,113,73,7,1,6
