시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,시설주소,정원(수용인원),현인원,전화번호,우편번호
참사랑데이케어센터,A0166,(노인) 재가노인복지시설,재가노인복지시설,자치구,최신영,1171000000,송파구,서울특별시 송파구 마천로 89,17,16,02-3401-5558,5655
우리사랑재가노인지원센터,A0564,(노인) 재가노인복지시설,재가노인복지시설,자치구,정춘선,1123000000,동대문구,서울특별시 동대문구 휘경로12길 83(휘경동),40,30,02-2215-8027,130876
동대문실버데이케어센터,A0638,(노인) 재가노인복지시설,재가노인복지시설,자치구,이동수,1100000000,서울특별시,서울특별시 동대문구 약령시로5길 223층 동대문실버데이케어센터,23,23,02-920-4547,2476
한국씨니어노인복지센터,A0681,(노인) 재가노인복지시설,재가노인복지시설,자치구,반명규,1159000000,동작구,서울특별시 동작구 상도로30길 82층,0,0,02-815-1922,6964
목동종합사회복지관병설목동노인복지센터,A0707,(노인) 재가노인복지시설,재가노인복지시설,자치구,유영덕,1147000000,양천구,서울특별시 양천구 목동중앙북로8길 104목동종합사회복지관 2층,24,24,02-2651-0809,7949
효림재가노인지원센터,A0738,(노인) 재가노인복지시설,재가노인복지시설,자치구,김동숙,1141000000,서대문구,서울특별시 서대문구 경기대로9길 62-01-38,,671,02-313-5124,3746
용산재가노인지원센터,A0773,(노인) 재가노인복지시설,재가노인복지시설,자치구,권용자,1117000000,용산구,서울특별시 용산구 한강대로 43길 13 대우아이빌 712호(한강로동),134,134,02-792-7882,4376
길음노인복지센터,A0789,(노인) 재가노인복지시설,재가노인복지시설,자치구,장민균,1129000000,성북구,서울특별시 성북구 삼양로2길 55 (길음동),17,17,02-989-0161,2732
남산실버복지센터,A0839,(노인) 재가노인복지시설,재가노인복지시설,자치구,박창남,1114000000,중구,서울특별시 중구 동호로5길 189 (신당동),34,34,02-2238-9941,4595
행복창조노인복지센터(방문요양),A0877,(노인) 재가노인복지시설,재가노인복지시설,자치구,김현훈,1138000000,은평구,서울특별시 은평구 응암로21길 10(응암동),20,23,02-382-1442,3456
정수데이케어센터,A1000,(노인) 재가노인복지시설,재가노인복지시설,자치구,권기현,1120000000,성동구,서울특별시 성동구 한림말길 16-5 (옥수동),21,21,02-2282-1126,4736
우리모두데이케어센터,A1074,(노인) 재가노인복지시설,재가노인복지시설,자치구,김기철,1150000000,강서구,서울특별시 강서구 화곡로63가길 92,17,17,02)2658-1118,7577
푸른햇살데이케어센터,A1082,(노인) 재가노인복지시설,재가노인복지시설,자치구,최성숙,1162000000,관악구,서울특별시 관악구 난곡로 110(난항동),22,22,02-851-2833,8860
시립동부데이케어센터,A1103,(노인) 재가노인복지시설,재가노인복지시설,자치구,곽금봉,1120000000,성동구,서울특별시 성동구 마장로23길 12 (홍익동),35,35,02-3407-2738,4706
휘경데이케어센터,A1144,(노인) 재가노인복지시설,재가노인복지시설,자치구,정국인,1123000000,동대문구,서울특별시 동대문구 망우로20가길 34-6(휘경동),20,18,02-2249-0173,2501
한마음방문요양센터,A1153,(노인) 재가노인복지시설,재가노인복지시설,자치구,이은점,1150000000,강서구,서울특별시 강서구 초록마을로14길 44 (화곡동),80,0,02-2607-7315,7722
참사랑재가노인지원센터,A1193,(노인) 재가노인복지시설,재가노인복지시설,자치구,조병기,1150000000,강서구,서울특별시 강서구 곰달래로 852층,80,80,02-2606-9559,7772
아현노인복지센터,A1216,(노인) 재가노인복지시설,재가노인복지시설,자치구,윤승임,1144000000,마포구,서울특별시 마포구 마포대로26길 19-0(공덕동),25,25,02-365-3677,4201
어르신이행복한세상주야간보호센터,A1294,(노인) 재가노인복지시설,재가노인복지시설,자치구,박병택,1147000000,양천구,서울특별시 양천구 신월로 338원빌딩 2층,9,7,02-2646-3898,8086
중계데이케어센터,A1372,(노인) 재가노인복지시설,재가노인복지시설,자치구,구종회,1135000000,노원구,서울특별시 노원구 중계4동 358주공3단지내,35,32,02-952-0502,1711
상계데이케어센터,A1434,(노인) 재가노인복지시설,재가노인복지시설,자치구,박용철,1135000000,노원구,서울특별시 노원구 덕릉로115나길 25상계데이케어센터 (상계동),18,18,02-951-9997,1638
갈현데이케어센터,A1605,(노인) 재가노인복지시설,재가노인복지시설,자치구,손진호,1138000000,은평구,서울특별시 은평구 통일로89길 12-6갈현노인복지관,21,19,02-357-2640,3328
약수데이케어센터,A1609,(노인) 재가노인복지시설,재가노인복지시설,자치구,강경희,1159000000,동작구,서울특별시 동작구 양녕로36길 132층(상도동),24,24,02-825-7071,6965
보사노인복지센터,A1676,(노인) 재가노인복지시설,재가노인복지시설,자치구,한서경,1144000000,마포구,서울특별시 마포구 성미산로29안길 302층 (연남동)(연남동),12,12,02-3273-6692,3980
송파노인복지센터,A1717,(노인) 재가노인복지시설,재가노인복지시설,자치구,이후자,1171000000,송파구,서울특별시 송파구 백제고분로41길 19-24신원빌딩,21,21,02-2202-3677,5625
효림데이케어센터,A1721,(노인) 재가노인복지시설,재가노인복지시설,자치구,김동금,1141000000,서대문구,서울특별시 서대문구 경기대로9길 624층,17,17,02-313-5124,3746
은천재가노인지원센터,A1722,(노인) 재가노인복지시설,재가노인복지시설,자치구,노선영,1123000000,동대문구,서울특별시 동대문구 장한로27가길 53(장안2동),120,122,02-2249-0580,2527
한빛데이케어센터,A1963,(노인) 재가노인복지시설,재가노인복지시설,자치구,권구택,1147000000,양천구,서울특별시 양천구 신월로11길 16(신월4동),28,27,02-2698-9977,8031
청담노인복지센터,A1980,(노인) 재가노인복지시설,재가노인복지시설,자치구,유지훈,1154500000,금천구,서울특별시 금천구 금하로29길 36(시흥2동),21,21,070-4680-2461,8656
한사랑복지센터,A2055,(노인) 재가노인복지시설,재가노인복지시설,자치구,한정옥,1162000000,관악구,서울특별시 관악구 은천로 83-1,0,0,02-3285-8969,8715
송파치매주.야간보호센터,A2065,(노인) 재가노인복지시설,재가노인복지시설,자치구,이경수,1171000000,송파구,서울특별시 송파구 백제고분로32길 41,34,32,02-3431-6736,5598
홍은데이케어센터,A2069,(노인) 재가노인복지시설,재가노인복지시설,자치구,백영수,1141000000,서대문구,서울특별시 서대문구 홍은중앙로9길 21홍은중앙로9길 21 ,21,21,02-391-1355,3602
노인주간보호센터은빛마을,A2075,(노인) 재가노인복지시설,재가노인복지시설,자치구,이은주,1165000000,서초구,서울특별시 서초구 신반포로 33길 22(잠원동)반포종합사회복지관 2층,21,21,02-3477-1011,6522
노원1치매데이케어센터,A2104,(노인) 재가노인복지시설,재가노인복지시설,자치구,김윤희,1135000000,노원구,서울특별시 노원구 월계3동사슴1단지아파트 내 노원1종합사회복지관 1층,17,17,02-974-0755,139775
궁동데이케어센터,A2252,(노인) 재가노인복지시설,재가노인복지시설,자치구,심우철,1153000000,구로구,서울특별시 구로구 부일로17길 158-4(수궁동),21,20,02-2616-0157,152883
그린리버노인복지센터,A2310,(노인) 재가노인복지시설,재가노인복지시설,자치구,윤영자,1171000000,송파구,서울특별시 송파구 성내천로 1894층,80,80,02-406-2688,138818
서초성심노인복지센터(주야간보호),A2360,(노인) 재가노인복지시설,재가노인복지시설,자치구,오명숙,1165000000,서초구,서울특별시 서초구 반포대로22길 61(서초동 1558-15),24,24,02-582-6004,6646
