시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,시설주소,정원(수용인원),현인원,전화번호,우편번호
어르신상담센터,F03699,(노인) 어르신상담센터,노인기타,자치구,김경미,1111000000,종로구,서울특별시 종로구 삼일대로 467 (경운동),1449,6,02-6220-8500,3147
관악시니어클럽,G1044,(노인) 노인복지센터,노인기타,자치구,조종현,1162000000,관악구,서울특별시 관악구 남부순환로247다길60 (봉천동),800,759,28749295,8801
중랑리베데이케어센터,G2641,(노인) 노인복지센터,노인기타,자치구,이근배,1126000000,중랑구,"서울특별시 중랑구 동일로 608, 503호 (면목동)",9,9,02-435-4333,131600
굿피플데이케어센터,G4857,(노인) 장기요양기관,노인기타,자치구,임을란,1162000000,관악구,"서울특별시 관악구 난곡로 299, 4층 (신림동)",40,26,28651253,8771
새생명노인복지센터,I0413,(노인) 장기요양기관,노인기타,자치구,유현목,1156000000,영등포구,"서울특별시 영등포구 대림로35나길 20-1 (대림동, 1층)",0,,02-831-3535,150953
영락노인복지센터,J0767,(노인) 장기요양기관,노인기타,자치구,박지향,1111000000,종로구,서울특별시 종로구 통일로 156 (교남동),0,0,070-4065-1744,3180
숭일재가노인복지센터,J4119,(노인) 장기요양기관,노인기타,자치구,황종구,1111000000,종로구,서울특별시 종로구 종로 381-12층호 (숭인동),0,0,02-3675-5759,3112
장안종합사회복지관 재가장기요양센터,J4748,(노인) 장기요양기관,노인기타,자치구,전명구,1123000000,동대문구,서울특별시 동대문구 한천로18길 48장안종합사회복지관 2층,0,73,02-2242-7564,2628
백운재가노인복지지원센터,M2058,(노인) 장기요양기관,노인기타,자치구,손병주,1141000000,서대문구,서울특별시 서대문구 연희로156203호,0,12,02-312-2610,3723
강서구치매지원센터,Z5448,(노인) (기타)노인복지시설,노인기타,자치구,정지향,1150000000,강서구,서울특별시 강서구 화곡로 371경향교회회관 3층 ,84,150,02-3663-0943,7590
역삼재가노인복지센터,Z6197,(노인) 경로식당,노인기타,자치구,전희진,1168000000,강남구,"서울특별시 강남구 언주로70길 18, 지하1층 (역삼동)",,70,25649294,6219
