호선명,역번호,역명,승하차구분,승하차인원수
1,150,서울역,승차,118173
1,150,서울역,하차,111415
1,151,시청,승차,47686
1,151,시청,하차,46713
1,152,종각,승차,87092
1,152,종각,하차,81694
1,153,종로3가,승차,210706
1,153,종로3가,하차,195752
1,154,종로5가,승차,184059
1,154,종로5가,하차,176738
1,155,동대문,승차,85382
1,155,동대문,하차,84256
1,156,신설동,승차,87259
1,156,신설동,하차,83267
1,157,제기동,승차,236909
1,157,제기동,하차,256062
1,158,청량리(서울시립대입구),승차,207484
1,158,청량리(서울시립대입구),하차,211782
1,159,동묘앞,승차,112198
1,159,동묘앞,하차,112747
2,201,시청,승차,33502
2,201,시청,하차,29730
2,202,을지로입구,승차,63013
2,202,을지로입구,하차,59047
2,203,을지로3가,승차,52740
2,203,을지로3가,하차,52114
2,204,을지로4가,승차,64349
2,204,을지로4가,하차,62963
2,205,동대문역사문화공원(DDP),승차,37171
2,205,동대문역사문화공원(DDP),하차,40109
2,206,신당,승차,68822
2,206,신당,하차,69946
2,207,상왕십리,승차,46845
2,207,상왕십리,하차,47628
2,208,왕십리(성동구청),승차,33538
2,208,왕십리(성동구청),하차,28817
2,209,한양대,승차,7691
2,209,한양대,하차,8014
2,210,뚝섬,승차,38290
2,210,뚝섬,하차,38794
2,211,성수,승차,66551
2,211,성수,하차,67899
2,212,건대입구,승차,58304
2,212,건대입구,하차,61228
2,213,구의(광진구청),승차,70552
2,213,구의(광진구청),하차,72985
2,214,강변(동서울터미널),승차,73534
2,214,강변(동서울터미널),하차,72050
2,215,잠실나루,승차,56623
2,215,잠실나루,하차,56973
2,216,잠실(송파구청),승차,121947
2,216,잠실(송파구청),하차,116429
2,217,잠실새내,승차,76237
2,217,잠실새내,하차,76516
2,218,종합운동장,승차,27805
2,218,종합운동장,하차,28653
2,219,삼성(무역센터),승차,77624
2,219,삼성(무역센터),하차,71219
2,220,선릉,승차,148456
2,220,선릉,하차,131901
2,221,역삼,승차,101535
2,221,역삼,하차,101582
2,222,강남,승차,116464
2,222,강남,하차,104044
2,223,교대(법원.검찰청),승차,103119
2,223,교대(법원.검찰청),하차,115052
2,224,서초,승차,51474
2,224,서초,하차,50634
2,225,방배,승차,51779
2,225,방배,하차,50803
2,226,사당,승차,123988
2,226,사당,하차,119688
2,227,낙성대(강감찬),승차,71608
2,227,낙성대(강감찬),하차,73313
2,228,서울대입구(관악구청),승차,125049
2,228,서울대입구(관악구청),하차,119872
2,229,봉천,승차,97458
2,229,봉천,하차,99068
2,230,신림,승차,150210
2,230,신림,하차,153336
2,231,신대방,승차,84643
2,231,신대방,하차,85978
2,232,구로디지털단지,승차,113483
2,232,구로디지털단지,하차,114744
2,233,대림(구로구청),승차,81880
2,233,대림(구로구청),하차,85468
2,234,신도림,승차,125940
2,234,신도림,하차,119491
2,235,문래,승차,53012
2,235,문래,하차,52645
2,236,영등포구청,승차,66919
2,236,영등포구청,하차,67010
2,237,당산,승차,38689
