호선명,역번호,역명,승하차구분,06시간대이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후
1,150,서울역,승차,98,102,216,281,298,378,506,600,646,546,626,688,594,489,308,252,210,128,43,2
1,150,서울역,하차,108,286,354,443,513,560,602,507,556,530,527,452,432,305,212,157,131,70,25,7
1,151,시청,승차,19,40,39,47,88,109,202,239,236,294,386,324,308,245,136,132,101,70,15,1
1,151,시청,하차,80,122,261,314,272,268,307,268,193,204,152,133,122,89,40,23,21,11,3,2
1,152,종각,승차,35,43,34,84,144,231,303,383,497,697,725,560,423,343,242,212,203,156,46,0
1,152,종각,하차,86,190,324,514,616,605,545,404,387,327,272,257,204,139,89,43,26,15,9,2
1,153,종로3가,승차,37,54,71,113,209,388,632,905,1013,1151,1285,1300,1090,899,646,494,346,240,86,5
1,153,종로3가,하차,81,206,253,457,649,946,1261,1420,1272,1048,782,659,500,312,158,80,68,30,12,2
1,154,종로5가,승차,19,37,62,129,216,503,723,878,1037,1218,1162,1106,1042,767,467,330,230,131,24,1
1,154,종로5가,하차,74,230,379,521,757,1026,1081,1026,946,996,777,731,453,233,137,60,44,12,8,2
1,155,동대문,승차,107,69,110,164,212,236,326,367,415,400,410,329,288,246,165,141,110,81,18,0
1,155,동대문,하차,38,97,163,191,281,345,413,398,346,372,327,298,238,209,135,74,67,49,20,3
1,156,신설동,승차,118,95,124,182,215,246,325,331,393,367,364,356,362,267,197,151,186,73,18,2
1,156,신설동,하차,37,143,135,307,347,368,376,320,330,294,332,317,250,189,145,77,70,41,30,2
1,157,제기동,승차,74,101,141,207,319,538,779,913,968,1036,1203,1270,868,563,320,212,105,40,11,3
1,157,제기동,하차,44,136,228,354,607,955,1129,1218,1357,1301,1039,812,576,288,175,88,59,37,12,3
1,158,청량리(서울시립대입구),승차,154,121,197,245,337,538,789,829,803,927,987,1056,818,609,349,197,132,62,24,3
1,158,청량리(서울시립대입구),하차,70,159,201,336,532,756,969,972,996,1029,975,828,605,367,268,121,103,85,37,12
